id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm154986,Deliverance,1972,109,"['drama', 'action', 'thriller', 'european']",['US'],7.7,107673.0
tm14873,Dirty Harry,1971,102,"['thriller', 'action', 'crime']",['US'],7.7,155051.0
tm204541,Dark Waters,1956,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.7,610.0
tm356209,Singapore,1960,158,"['drama', 'thriller', 'crime']",['IN'],6.4,84.0
tm336403,Khoon Khoon,1973,131,"['crime', 'thriller']",['IN'],5.1,41.0
tm54450,Christine,1983,110,"['horror', 'thriller', 'european']",['US'],6.7,81922.0
tm721687,Vaashi,1983,123,"['drama', 'thriller']",['IN'],6.7,388.0
tm51083,A Stoning in Fulham County,1988,120,"['thriller', 'crime', 'drama']",['US'],5.9,387.0
tm348735,Aakhri Adaalat,1988,148,"['action', 'crime', 'thriller']",['IN'],5.1,92.0
tm371359,Jaal,1986,159,"['action', 'drama', 'thriller']",['IN'],5.2,125.0
tm107744,Mission: Impossible,1996,110,"['thriller', 'action']",['US'],7.1,420673.0
tm15897,Se7en,1995,127,"['crime', 'thriller', 'drama']",['US'],8.6,1606270.0
tm43808,The Talented Mr. Ripley,1999,139,"['thriller', 'drama', 'crime']",['US'],7.4,207524.0
tm192037,Starship Troopers,1997,129,"['scifi', 'action', 'thriller']",['US'],7.3,291452.0
tm27395,Mission: Impossible II,2000,123,"['thriller', 'action']",['US'],6.1,337987.0
tm192405,Gattaca,1997,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],7.8,300701.0
tm116655,Léon: The Professional,1994,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",8.5,1137357.0
tm116488,Natural Born Killers,1994,118,"['thriller', 'drama', 'crime', 'action']",['US'],7.3,11.0
tm11556,The Quick and the Dead,1995,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",6.5,93767.0
tm49178,Vampires,1998,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],6.1,58670.0
tm191989,Donnie Brasco,1997,127,"['drama', 'thriller', 'crime']",['US'],7.7,303868.0
tm111163,Eraser,1996,115,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",6.1,110921.0
tm187791,In the Line of Fire,1993,128,"['drama', 'thriller', 'crime', 'action']",['US'],7.2,102916.0
tm65686,U.S. Marshals,1998,131,"['thriller', 'crime', 'action']",['US'],6.5,105286.0
tm191387,Anaconda,1997,89,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",4.8,104213.0
tm12499,The Net,1995,114,"['thriller', 'action', 'crime', 'drama']",['US'],5.9,66667.0
tm186589,Cliffhanger,1993,112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",6.5,128972.0
tm189764,Menace II Society,1993,97,"['drama', 'crime', 'thriller']",['US'],7.5,58179.0
tm10739,Johnny Mnemonic,1995,97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",5.6,71563.0
tm192431,The Devil's Own,1997,107,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],6.2,65323.0
tm191431,Double Team,1997,93,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",4.8,34396.0
tm41525,Herod's Law,1999,123,"['comedy', 'crime', 'thriller']",['MX'],7.8,6035.0
tm52871,Soldier,1998,156,"['thriller', 'action', 'drama', 'romance']",['IN'],6.2,3063.0
