id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm156453,FTA,1972,97,"['war', 'documentation', 'music', 'comedy']",['US'],6.2,418.0
tm90896,The Return of the Prodigal Son,1976,124,"['music', 'drama', 'crime']","['DZ', 'EG']",7.2,780.0
tm189171,Wild Tango,1993,124,"['drama', 'music', 'romance']","['ES', 'AR']",6.7,1584.0
tm21911,Sam Kinison: Live in Vegas,1991,72,"['comedy', 'music', 'documentation']",['US'],6.6,276.0
tm92641,Inception,2010,148,"['action', 'scifi', 'music', 'thriller']","['US', 'GB']",8.8,2294231.0
tm44378,Tony Manero,2008,97,"['drama', 'music']",['CL'],6.8,4255.0
tm37945,Rock On!!,2008,144,"['drama', 'music']",['IN'],7.7,22092.0
tm23977,Fuga,2006,110,"['music', 'drama', 'thriller']","['CL', 'AR']",6.2,1129.0
tm52352,This Is the Life,2008,97,"['music', 'documentation']",['US'],6.3,264.0
tm241875,Frank & Cindy,2007,73,"['documentation', 'music', 'drama']",['US'],6.9,348.0
tm95507,Chance Pe Dance,2010,121,"['drama', 'music', 'romance', 'comedy']",['IN'],4.8,2979.0
tm69386,Quartet,2012,98,"['drama', 'comedy', 'romance', 'music']",['GB'],6.8,20297.0
tm56296,The History of Future Folk,2012,86,"['music', 'comedy', 'scifi']",['US'],7.1,3478.0
tm40860,Big Time Movie,2012,68,"['comedy', 'music', 'family']",['US'],6.1,1962.0
tm143227,Begin Again,2013,104,"['drama', 'comedy', 'music', 'romance']",['US'],7.4,155249.0
tm171228,Metallica: Through the Never,2013,93,['music'],['US'],7.1,17513.0
tm237143,Shrek the Musical,2013,130,"['music', 'comedy', 'fantasy', 'family']",['US'],6.9,3695.0
tm144121,Get on Up,2014,139,"['drama', 'music']",['US'],6.9,24613.0
tm139922,"The Other One: The Long, Strange Trip of Bob Weir",2014,85,"['music', 'documentation']",['US'],7.3,1677.0
tm148597,Monty Python: Live (Mostly),2014,138,"['documentation', 'comedy', 'music']",['GB'],7.6,2623.0
tm186054,ABCD,2013,136,"['music', 'drama']",['IN'],6.3,6960.0
tm145791,Miss Granny,2014,124,"['drama', 'comedy', 'music', 'family', 'fantasy']",['KR'],7.2,3508.0
tm185736,SampleThis,2013,85,"['documentation', 'music']",['US'],6.4,471.0
tm120609,"Hail, Caesar!",2016,106,"['comedy', 'drama', 'music']",['US'],6.3,133837.0
tm147082,"What Happened, Miss Simone?",2015,101,"['music', 'documentation']",['US'],7.6,13872.0
tm242736,Bo Burnham: Make Happy,2016,60,"['comedy', 'music', 'documentation']",['US'],8.4,14356.0
tm142881,Jem and the Holograms,2015,118,"['fantasy', 'music', 'romance', 'scifi', 'drama', 'family']",['US'],4.1,7867.0
tm221225,David Brent: Life on the Road,2016,96,"['comedy', 'music', 'action']",['GB'],6.3,20005.0
tm228242,A Very Murray Christmas,2015,56,"['comedy', 'music']",['US'],5.5,15455.0
tm225693,Keith Richards: Under the Influence,2015,82,"['documentation', 'music']",['US'],7.1,3383.0
tm242755,Ordinary World,2016,86,"['comedy', 'drama', 'family', 'music']",['US'],5.5,3106.0
tm245297,Justin Timberlake + The Tennessee Kids,2016,90,"['music', 'documentation']",['US'],7.6,2191.0
tm207668,ABCD 2,2015,154,"['music', 'drama']",['IN'],5.4,6424.0
tm239774,XOXO,2016,92,"['music', 'drama']",['US'],5.3,7021.0
tm246056,Garfunkel and Oates: Trying to be Special,2016,62,"['comedy', 'music']",['US'],7.3,919.0
tm214589,The Breakup Playlist,2015,117,"['romance', 'drama', 'music']",['PH'],6.5,305.0
tm273933,Reggie Watts: Spatial,2016,61,"['comedy', 'music']",['US'],6.0,515.0
tm234735,Time Out,2015,98,"['drama', 'animation', 'family', 'music']",['IN'],6.0,414.0
tm300280,Rumble: The Indians Who Rocked the World,2017,103,"['music', 'documentation']",['CA'],7.7,830.0
tm320281,"Can't Stop, Won't Stop: A Bad Boy Story",2017,80,"['music', 'documentation']",['US'],5.3,735.0
tm435916,The Perfection,2018,90,"['horror', 'thriller', 'drama', 'music']",['US'],6.1,42403.0
tm427308,Falls Around Her,2018,100,"['drama', 'music', 'thriller']",['CA'],6.3,127.0
tm426274,The After Party,2018,89,"['comedy', 'horror', 'music']",['US'],5.7,4405.0
tm423373,Andhadhun,2018,139,"['thriller', 'drama', 'comedy', 'crime', 'music']",['IN'],8.2,90237.0
tm411415,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,94,"['documentation', 'music']",['US'],7.9,1285.0
tm406881,Bathtubs Over Broadway,2018,87,"['comedy', 'music', 'documentation']",['US'],7.6,1089.0
tm437608,Adam Sandler: 100% Fresh,2018,73,"['comedy', 'music']",['US'],7.5,5178.0
tm326723,The Polka King,2017,95,"['comedy', 'music', 'drama']",['US'],5.9,10568.0
tm448122,Taylor Swift: Reputation Stadium Tour,2018,125,"['music', 'documentation']",['US'],8.3,5435.0
tm298779,Lu Over the Wall,2017,117,"['animation', 'family', 'fantasy', 'action', 'comedy', 'music']",['JP'],6.8,2269.0
tm347530,Gaga: Five Foot Two,2017,100,"['music', 'documentation']",['US'],7.0,12937.0
tm318200,Clive Davis: The Soundtrack of Our Lives,2017,123,"['documentation', 'music']",['US'],7.4,991.0
tm427465,Quincy,2018,124,"['music', 'documentation']",['US'],7.6,4551.0
tm445735,Springsteen On Broadway,2018,153,"['music', 'documentation']",['US'],8.5,2199.0
tm327540,Gnome Alone,2017,85,"['family', 'action', 'animation', 'comedy', 'fantasy', 'music', 'thriller', 'drama']","['CA', 'GB', 'US']",5.6,3488.0
tm307776,Secret Superstar,2017,150,"['drama', 'music']",['IN'],7.8,24832.0
tm233485,Charming,2018,90,"['comedy', 'family', 'fantasy', 'music', 'animation', 'action']",['US'],5.6,3518.0
tm441060,ReMastered: Tricky Dick & The Man in Black,2018,58,"['documentation', 'music']",['US'],7.1,1519.0
tm370628,Fred Armisen: Standup for Drummers,2018,65,"['music', 'comedy']",['US'],5.8,1294.0
tm406098,Battle,2018,95,"['drama', 'romance', 'music', 'european']","['NO', 'SE', 'DK', 'NL']",5.9,4248.0
tm327652,"Roxanne, Roxanne",2017,98,"['drama', 'music']",['US'],6.2,3222.0
tm416620,Quién te cantará,2018,125,"['drama', 'thriller', 'music', 'european']","['ES', 'FR']",6.9,2915.0
tm414676,Paradise Lost,2018,110,"['drama', 'music', 'documentation']",['BR'],6.9,689.0
tm319512,The Girl from the Song,2017,102,"['romance', 'drama', 'music', 'european']",['ES'],5.6,1775.0
tm434883,Been So Long,2018,100,"['music', 'romance', 'drama']",['GB'],5.4,1108.0
tm233345,Love Beats Rhymes,2017,105,"['music', 'drama']",['US'],5.3,1072.0
tm357272,Barbra: The Music ... The Mem'ries ... The Magic!,2017,108,"['documentation', 'music']",['US'],7.5,448.0
tm334949,Right Here Right Now,2018,89,"['drama', 'comedy', 'music', 'european']",['DE'],5.4,311.0
tm370440,Paradox,2018,73,"['western', 'fantasy', 'music']",['US'],3.9,713.0
tm436171,El Potro: lo mejor del amor,2018,122,"['drama', 'music']",['AR'],5.2,723.0
tm443283,Loudon Wainwright III: Surviving Twin,2018,91,"['music', 'documentation']",['US'],7.1,95.0
tm279017,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,54,"['comedy', 'music', 'romance']",['US'],6.8,2126.0
tm437159,ReMastered: Who Shot the Sheriff,2018,57,"['documentation', 'crime', 'history', 'music']",['US'],6.9,1430.0
tm439678,Solo el amor,2018,93,"['drama', 'romance', 'music', 'comedy']",['AR'],4.8,71.0
tm420311,Ana e Vitória,2018,115,"['romance', 'comedy', 'music']",['BR'],6.4,610.0
tm413266,Pup Star: World Tour,2018,87,"['music', 'comedy', 'family']","['JP', 'US', 'CA']",3.8,208.0
tm447328,ReMastered: Who Killed Jam Master Jay?,2018,58,"['music', 'documentation']",['US'],6.5,786.0
tm469399,Music Teacher,2018,101,"['romance', 'drama', 'music']",['IN'],6.2,693.0
tm478701,Lara and the Beat,2018,137,"['drama', 'music', 'romance']",['NG'],5.8,149.0
tm840936,Zoé: Panoramas,2017,89,"['documentation', 'music']",['XX'],6.8,78.0
tm849004,Eurovision Song Contest: The Story of Fire Saga,2020,123,"['music', 'comedy']",['US'],6.5,92086.0
tm455636,The Dirt,2019,108,"['drama', 'comedy', 'music']",['US'],6.9,48445.0
