id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm127384,Monty Python and the Holy Grail,1975,91,"['fantasy', 'action', 'comedy']",['GB'],8.2,534486.0
tm100027,Alibaba Aur 40 Chor,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565.0
tm47673,An Egyptian Story,1982,129,"['drama', 'fantasy']",['EG'],7.3,1126.0
tm49178,Vampires,1998,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],6.1,58670.0
tm187187,Last Action Hero,1993,131,"['action', 'fantasy', 'comedy', 'family']",['US'],6.4,150498.0
tm190835,Neon Genesis Evangelion: The End of Evangelion,1997,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']",['JP'],8.0,53152.0
tm62385,Hum Saath Saath Hain,1999,177,"['romance', 'family', 'fantasy', 'drama']",['IN'],6.2,8552.0
tm42397,Hello Brother,1999,131,"['comedy', 'romance', 'fantasy', 'action']",['IN'],4.6,4262.0
tm42877,Wanted,2008,110,"['action', 'thriller', 'crime', 'fantasy']","['DE', 'US']",6.7,384995.0
tm139658,Big Fish,2003,125,"['action', 'fantasy', 'drama', 'romance']",['US'],8.0,437650.0
tm30603,Hancock,2008,92,"['fantasy', 'action', 'crime', 'drama']",['US'],6.4,476593.0
tm46436,Thir13en Ghosts,2001,91,"['horror', 'thriller', 'fantasy']","['CA', 'US']",5.6,87083.0
tm150260,Cloudy with a Chance of Meatballs,2009,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",['US'],6.9,229274.0
tm23935,The Lake House,2006,99,"['drama', 'thriller', 'fantasy', 'romance', 'documentation']",['US'],6.8,149070.0
tm169949,Just Like Heaven,2005,95,"['romance', 'drama', 'comedy', 'fantasy']",['US'],6.7,108029.0
tm30205,Ip Man,2008,106,"['drama', 'fantasy', 'comedy', 'history', 'action']",['HK'],8.0,222372.0
tm94606,Let Me In,2010,116,"['drama', 'horror', 'thriller', 'fantasy', 'european']","['GB', 'US']",7.1,121008.0
