id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm98978,The Blue Lagoon,1980,104,"['romance', 'action', 'drama']",['US'],5.8,69844.0
tm16479,White Christmas,1954,115,"['romance', 'comedy']",['US'],7.5,42488.0
tm94651,Dostana,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1,25.0
tm27298,Saladin the Victorious,1963,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.6,2508.0
tm100027,Alibaba Aur 40 Chor,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565.0
tm19608,The Blazing Sun,1954,100,"['crime', 'romance', 'drama']",['EG'],7.4,1219.0
tm204541,Dark Waters,1956,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.7,610.0
tm107372,Manoranjan,1974,162,"['romance', 'drama', 'comedy']",['IN'],6.5,237.0
tm358653,Ujala,1959,142,"['romance', 'crime', 'drama']",['IN'],6.6,78.0
tm403346,Chadi Jawani Budhe Nu,1976,135,['romance'],['IN'],4.6,14.0
tm16812,Bandie,1978,141,"['drama', 'action', 'romance']",['IN'],4.4,35.0
tm138875,When Harry Met Sally...,1989,96,"['comedy', 'romance', 'drama']",['US'],7.7,216199.0
tm133087,Steel Magnolias,1989,119,"['comedy', 'drama', 'romance']",['US'],7.3,54946.0
tm117580,She's Gotta Have It,1986,84,"['romance', 'comedy']",['US'],6.7,14472.0
tm130586,Endless Love,1981,116,"['romance', 'drama']",['US'],4.9,8524.0
tm52815,Disco Dancer,1982,106,"['drama', 'romance']",['IN'],6.4,1476.0
tm157603,Dil,1990,172,"['drama', 'comedy', 'romance']",['IN'],6.6,5316.0
tm172482,Sohni Mahiwal,1984,160,"['romance', 'drama', 'action']",['IN'],6.1,297.0
tm419052,Ek Jaan Hain Hum,1983,151,"['family', 'romance']",['IN'],6.3,70.0
tm122434,Forrest Gump,1994,142,"['drama', 'romance']",['US'],8.8,2021343.0
tm191110,Titanic,1997,194,"['drama', 'romance']",['US'],7.9,1146825.0
tm192405,Gattaca,1997,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],7.8,300701.0
tm11556,The Quick and the Dead,1995,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",6.5,93767.0
tm56574,You've Got Mail,1998,119,"['comedy', 'romance', 'drama']",['US'],6.7,211635.0
tm6859,My Girl,1991,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],6.9,80590.0
tm113576,Little Women,1994,115,"['drama', 'romance', 'family']",['US'],7.3,58178.0
