id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm2386,A Nightmare on Elm Street,1984,91,['horror'],"['GB', 'US']",7.4,234068.0
tm54450,Christine,1983,110,"['horror', 'thriller', 'european']",['US'],6.7,81922.0
tm49178,Vampires,1998,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],6.1,58670.0
tm191387,Anaconda,1997,89,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",4.8,104213.0
tm192199,Spawn,1997,96,"['scifi', 'action', 'drama', 'horror']",['US'],5.2,68184.0
tm74402,The Mist,2007,126,"['horror', 'scifi', 'thriller']",['US'],7.1,305346.0
tm88465,Insidious,2010,103,"['horror', 'thriller']","['CA', 'US']",6.8,303820.0
tm46436,Thir13en Ghosts,2001,91,"['horror', 'thriller', 'fantasy']","['CA', 'US']",5.6,87083.0
tm79895,Halloween,2007,109,['horror'],['US'],6.0,119606.0
tm78067,The Girl Next Door,2007,91,"['crime', 'drama', 'horror', 'thriller']",['US'],6.5,26293.0
tm141390,Friday the 13th,2009,97,"['horror', 'thriller']",['US'],5.5,106970.0
tm94606,Let Me In,2010,116,"['drama', 'horror', 'thriller', 'fantasy', 'european']","['GB', 'US']",7.1,121008.0
tm102337,A Nightmare on Elm Street,2010,95,"['horror', 'thriller', 'crime', 'drama']",['US'],5.2,99894.0
tm24088,Scary Movie 4,2006,83,"['comedy', 'horror']",['US'],5.1,120997.0
tm137362,The Texas Chainsaw Massacre,2003,98,"['horror', 'crime']",['US'],6.2,141736.0
tm150214,Freddy vs. Jason,2003,97,"['horror', 'action']","['IT', 'US']",5.7,118925.0
tm161263,The Cave,2005,97,"['horror', 'thriller', 'action', 'scifi', 'european']","['DE', 'US']",5.1,38734.0
tm26638,The Texas Chainsaw Massacre: The Beginning,2006,91,"['thriller', 'horror', 'documentation']",['US'],5.8,72845.0
tm38896,From Within,2008,89,"['horror', 'thriller', 'documentation', 'war', 'european']",['US'],5.6,7650.0
tm95238,The Boy Who Cried Werewolf,2010,97,"['fantasy', 'horror', 'family', 'comedy']","['US', 'CA']",5.9,3315.0
tm170169,Kaal,2005,127,"['action', 'thriller', 'horror', 'scifi']",['IN'],4.7,5370.0
tm237621,The Figurine (Araromire),2009,122,"['horror', 'thriller', 'drama']",['NG'],4.4,251.0
tm154802,Agyaat,2009,98,"['horror', 'thriller', 'drama']",['IN'],2.9,680.0
tm254052,Kucch To Hai,2003,142,"['thriller', 'horror', 'romance', 'drama']",['IN'],4.3,920.0
tm85689,Krishna Cottage,2004,124,"['thriller', 'horror', 'romance', 'drama']",['IN'],5.1,1178.0
tm39896,Dark Shadows,2012,113,"['comedy', 'fantasy', 'horror']",['US'],6.2,265626.0
tm60844,Berserk: The Golden Age Arc I - The Egg of the King,2012,76,"['action', 'fantasy', 'animation', 'horror', 'war', 'drama']",['JP'],7.5,12548.0
tm173195,The Rite,2011,114,"['drama', 'thriller', 'horror']","['US', 'HU', 'IT']",6.0,97585.0
tm174256,Red Riding Hood,2011,100,"['fantasy', 'thriller', 'horror', 'drama', 'romance']","['CA', 'US']",5.4,112015.0
tm38064,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,98,"['action', 'drama', 'fantasy', 'animation', 'horror']",['JP'],7.7,10470.0
tm177044,Naruto Shippuden the Movie: Blood Prison,2011,108,"['action', 'comedy', 'horror', 'thriller', 'animation', 'fantasy']",['JP'],7.1,5104.0
tm167241,Ragini MMS,2011,93,"['drama', 'horror', 'thriller']",['IN'],5.1,2654.0
